"Own_functional_mobile","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69"
"None","Tertiary - Bachelor's Degree","Urban","Oti","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Northern","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Northern","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Savannah","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Savannah","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","North East","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","North East","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Upper East","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Upper East","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Upper West","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Upper West","Female",0,0,0,0,0,0,0,0,0,0,0
"Smart phone only","Never attended","Rural","Ghana","Male",8281,17741,18163,17076,14410,11188,8288,5993,3669,3268,1383
"Smart phone only","Never attended","Rural","Ghana","Female",5354,13257,15034,15959,14351,11639,9134,7638,5182,4528,1960
"Smart phone only","Never attended","Rural","Western","Male",825,2219,2470,2279,1757,1244,853,526,329,231,135
"Smart phone only","Never attended","Rural","Western","Female",469,1432,1726,1768,1575,1129,874,717,459,376,144
"Smart phone only","Never attended","Rural","Central","Male",342,822,941,849,827,674,503,368,222,221,94
"Smart phone only","Never attended","Rural","Central","Female",208,589,834,859,956,798,738,697,491,450,201
"Smart phone only","Never attended","Rural","Greater Accra","Male",156,506,585,630,576,430,298,187,124,75,26
"Smart phone only","Never attended","Rural","Greater Accra","Female",97,378,565,622,651,490,398,293,168,178,83
"Smart phone only","Never attended","Rural","Volta","Male",201,504,533,580,505,379,295,226,133,123,48
"Smart phone only","Never attended","Rural","Volta","Female",140,414,568,725,679,564,499,442,310,292,128
"Smart phone only","Never attended","Rural","Eastern","Male",504,931,1022,952,923,742,545,466,300,248,100
"Smart phone only","Never attended","Rural","Eastern","Female",196,659,753,1065,1091,953,898,697,534,467,207
"Smart phone only","Never attended","Rural","Ashanti","Male",823,2122,2488,2431,2317,1736,1418,902,591,432,189
"Smart phone only","Never attended","Rural","Ashanti","Female",578,1728,2342,2620,2496,2005,1656,1415,948,713,350
"Smart phone only","Never attended","Rural","Western North","Male",437,1016,1117,1105,1028,839,606,454,248,178,70
"Smart phone only","Never attended","Rural","Western North","Female",295,788,966,1052,1001,759,567,423,252,207,70
"Smart phone only","Never attended","Rural","Ahafo","Male",137,293,337,357,350,263,211,177,115,98,38
"Smart phone only","Never attended","Rural","Ahafo","Female",112,316,331,374,385,288,235,197,149,130,47
"Smart phone only","Never attended","Rural","Bono","Male",247,667,697,593,597,506,452,309,209,211,99
"Smart phone only","Never attended","Rural","Bono","Female",178,492,631,771,780,708,558,478,399,323,157
"Smart phone only","Never attended","Rural","Bono East","Male",446,911,756,712,684,537,373,282,185,191,72
"Smart phone only","Never attended","Rural","Bono East","Female",287,656,695,700,660,503,440,300,217,182,63
"Smart phone only","Never attended","Rural","Oti","Male",315,620,625,559,448,391,308,208,132,130,48
"Smart phone only","Never attended","Rural","Oti","Female",180,451,445,509,436,347,273,212,163,127,51
"Smart phone only","Never attended","Rural","Northern","Male",1097,1948,1666,1460,1071,928,631,528,287,334,119
"Smart phone only","Never attended","Rural","Northern","Female",807,1571,1499,1447,990,846,482,407,193,229,82
"Smart phone only","Never attended","Rural","Savannah","Male",692,1408,1287,1191,757,574,372,307,142,163,54
"Smart phone only","Never attended","Rural","Savannah","Female",470,1018,785,692,484,377,194,168,88,101,29
"Smart phone only","Never attended","Rural","North East","Male",545,852,697,647,435,347,221,217,118,110,43
"Smart phone only","Never attended","Rural","North East","Female",416,742,625,604,417,365,200,193,97,108,52
"Smart phone only","Never attended","Rural","Upper East","Male",877,1674,1710,1622,1257,951,697,499,290,306,151
"Smart phone only","Never attended","Rural","Upper East","Female",574,1241,1468,1400,1097,949,731,639,433,423,196
"Smart phone only","Never attended","Rural","Upper West","Male",637,1248,1232,1109,878,647,505,337,244,217,97
"Smart phone only","Never attended","Rural","Upper West","Female",347,782,801,751,653,558,391,360,281,222,100
"Smart phone only","Never attended","Urban","Ghana","Male",6199,17901,22920,25612,23364,19982,14943,10406,6140,5045,2601
"Smart phone only","Never attended","Urban","Ghana","Female",6227,20488,29117,34125,33453,28364,23692,18309,12310,9929,5291
"Smart phone only","Never attended","Urban","Western","Male",373,1116,1429,1556,1397,1066,811,524,299,252,118
"Smart phone only","Never attended","Urban","Western","Female",325,1115,1516,1812,1800,1441,1273,952,677,520,279
"Smart phone only","Never attended","Urban","Central","Male",482,1202,1565,1637,1745,1469,1196,754,472,323,175
"Smart phone only","Never attended","Urban","Central","Female",352,1183,1776,2219,2455,2071,1766,1333,953,776,401
"Smart phone only","Never attended","Urban","Greater Accra","Male",1314,4811,6627,7380,6442,5388,4022,2656,1572,1198,659
"Smart phone only","Never attended","Urban","Greater Accra","Female",1658,5523,8245,10280,10623,8801,7439,5542,3742,2979,1595
"Smart phone only","Never attended","Urban","Volta","Male",152,569,659,701,682,550,351,266,152,143,62
"Smart phone only","Never attended","Urban","Volta","Female",208,574,855,1000,955,807,658,511,344,264,131
"Smart phone only","Never attended","Urban","Eastern","Male",343,933,1072,1182,1157,983,747,509,338,278,147
"Smart phone only","Never attended","Urban","Eastern","Female",261,821,1251,1532,1647,1520,1463,1128,817,735,376
"Smart phone only","Never attended","Urban","Ashanti","Male",1007,2921,4030,4510,4399,3964,3170,2283,1390,1133,632
"Smart phone only","Never attended","Urban","Ashanti","Female",1123,3532,5423,6587,7056,6404,5718,4677,3117,2422,1439
"Smart phone only","Never attended","Urban","Western North","Male",155,376,453,549,454,388,295,177,123,90,48
"Smart phone only","Never attended","Urban","Western North","Female",151,498,654,651,672,537,370,328,177,125,40
"Smart phone only","Never attended","Urban","Ahafo","Male",104,243,323,363,330,252,194,131,93,77,35
"Smart phone only","Never attended","Urban","Ahafo","Female",94,333,400,454,407,344,302,247,169,145,65
"Smart phone only","Never attended","Urban","Bono","Male",309,804,910,935,868,789,616,483,291,260,119
"Smart phone only","Never attended","Urban","Bono","Female",232,928,1198,1426,1417,1301,1053,920,689,565,327
"Smart phone only","Never attended","Urban","Bono East","Male",422,1057,1087,1278,1217,984,704,486,280,221,119
"Smart phone only","Never attended","Urban","Bono East","Female",389,1278,1651,1736,1601,1189,964,743,478,362,182
"Smart phone only","Never attended","Urban","Oti","Male",165,372,402,361,374,300,228,125,90,74,42
"Smart phone only","Never attended","Urban","Oti","Female",123,389,422,437,411,287,214,159,104,65,42
"Smart phone only","Never attended","Urban","Northern","Male",647,1722,2193,2738,2216,1936,1319,985,458,520,233
"Smart phone only","Never attended","Urban","Northern","Female",675,2283,3135,3190,2222,1778,1219,867,487,497,200
"Smart phone only","Never attended","Urban","Savannah","Male",224,571,618,701,546,440,278,180,110,85,39
"Smart phone only","Never attended","Urban","Savannah","Female",212,591,756,692,480,363,226,127,94,77,26
"Smart phone only","Never attended","Urban","North East","Male",216,423,423,412,317,315,162,149,71,78,37
"Smart phone only","Never attended","Urban","North East","Female",173,432,426,479,350,290,181,139,69,90,42
"Smart phone only","Never attended","Urban","Upper East","Male",179,471,656,782,759,692,556,451,252,195,86
"Smart phone only","Never attended","Urban","Upper East","Female",157,597,806,1005,854,804,561,406,252,185,90
"Smart phone only","Never attended","Urban","Upper West","Male",107,310,473,527,461,466,294,247,149,118,50
"Smart phone only","Never attended","Urban","Upper West","Female",94,411,603,625,503,427,285,230,141,122,56
"Smart phone only","Primary","Rural","Ghana","Male",21613,21419,15250,11830,10117,6778,5137,3570,2401,1990,1299
"Smart phone only","Primary","Rural","Ghana","Female",18673,20419,16493,13836,11540,7810,5852,4341,2957,2517,1580
"Smart phone only","Primary","Rural","Western","Male",1923,2170,1661,1311,1095,697,509,307,213,152,101
"Smart phone only","Primary","Rural","Western","Female",1425,1960,1683,1379,1142,694,511,352,223,141,106
"Smart phone only","Primary","Rural","Central","Male",1417,1522,1105,947,880,625,497,361,209,206,157
"Smart phone only","Primary","Rural","Central","Female",1197,1416,1343,1174,1159,765,629,465,326,288,181
"Smart phone only","Primary","Rural","Greater Accra","Male",635,914,653,581,504,363,269,147,83,60,35
"Smart phone only","Primary","Rural","Greater Accra","Female",641,794,814,736,630,415,286,189,109,96,32
"Smart phone only","Primary","Rural","Volta","Male",1244,1313,1045,928,867,616,500,416,297,284,179
"Smart phone only","Primary","Rural","Volta","Female",1301,1637,1475,1260,1213,794,637,496,383,346,297
"Smart phone only","Primary","Rural","Eastern","Male",2313,2365,1792,1470,1447,1009,811,596,418,340,224
"Smart phone only","Primary","Rural","Eastern","Female",2070,2296,2044,2005,1825,1359,1090,846,561,558,318
"Smart phone only","Primary","Rural","Ashanti","Male",3343,3611,2783,2218,2023,1429,1073,729,454,371,246
"Smart phone only","Primary","Rural","Ashanti","Female",2974,3519,3173,2953,2605,1937,1441,1042,749,559,339
"Smart phone only","Primary","Rural","Western North","Male",1069,1002,715,649,577,374,290,217,134,100,61
"Smart phone only","Primary","Rural","Western North","Female",862,1008,892,774,553,340,282,184,126,90,36
"Smart phone only","Primary","Rural","Ahafo","Male",482,439,268,233,206,155,114,76,69,50,32
"Smart phone only","Primary","Rural","Ahafo","Female",410,433,341,284,265,171,139,116,76,68,37
"Smart phone only","Primary","Rural","Bono","Male",848,860,587,506,448,272,212,154,122,95,44
"Smart phone only","Primary","Rural","Bono","Female",742,859,663,648,524,365,241,222,132,126,64
"Smart phone only","Primary","Rural","Bono East","Male",1493,1238,727,541,427,254,211,131,100,76,43
"Smart phone only","Primary","Rural","Bono East","Female",1167,1187,769,567,407,245,169,135,91,78,51
"Smart phone only","Primary","Rural","Oti","Male",823,864,583,440,369,292,213,142,126,92,58
"Smart phone only","Primary","Rural","Oti","Female",888,945,650,516,394,264,190,130,104,92,71
"Smart phone only","Primary","Rural","Northern","Male",1191,895,495,332,195,118,68,37,21,30,12
"Smart phone only","Primary","Rural","Northern","Female",1057,899,410,251,119,65,31,21,8,2,2
"Smart phone only","Primary","Rural","Savannah","Male",658,616,313,207,119,53,38,33,16,9,23
"Smart phone only","Primary","Rural","Savannah","Female",662,651,293,165,84,50,36,20,6,7,5
"Smart phone only","Primary","Rural","North East","Male",520,374,226,154,93,53,26,32,21,23,8
"Smart phone only","Primary","Rural","North East","Female",542,388,234,141,70,39,16,9,4,9,4
"Smart phone only","Primary","Rural","Upper East","Male",2342,1989,1545,906,625,335,224,145,72,66,46
"Smart phone only","Primary","Rural","Upper East","Female",1597,1428,1044,658,356,205,113,77,38,29,17
"Smart phone only","Primary","Rural","Upper West","Male",1312,1247,752,407,242,133,82,47,46,36,30
"Smart phone only","Primary","Rural","Upper West","Female",1138,999,665,325,194,102,41,37,21,28,20
"Smart phone only","Primary","Urban","Ghana","Male",15583,19207,16426,15522,14452,10837,8117,5261,3157,2228,1327
"Smart phone only","Primary","Urban","Ghana","Female",15916,20666,23354,24214,23772,17607,14485,10054,6280,4728,2681
"Smart phone only","Primary","Urban","Western","Male",984,1272,1069,976,770,588,434,267,183,118,59
"Smart phone only","Primary","Urban","Western","Female",867,1210,1341,1246,1250,906,738,496,273,250,155
"Smart phone only","Primary","Urban","Central","Male",1496,1838,1477,1276,1265,971,719,527,293,211,128
"Smart phone only","Primary","Urban","Central","Female",1466,1840,2094,2108,2181,1429,1267,892,544,423,249
"Smart phone only","Primary","Urban","Greater Accra","Male",3325,4846,4614,4767,4604,3540,2771,1719,1020,662,378
"Smart phone only","Primary","Urban","Greater Accra","Female",4119,5505,7242,8104,8416,6512,5268,3807,2232,1675,883
"Smart phone only","Primary","Urban","Volta","Male",655,818,763,766,670,510,352,226,141,117,89
"Smart phone only","Primary","Urban","Volta","Female",768,1051,1109,1154,882,623,550,402,288,204,124
"Smart phone only","Primary","Urban","Eastern","Male",1401,1556,1243,1184,1184,852,596,446,263,203,135
"Smart phone only","Primary","Urban","Eastern","Female",1305,1599,1824,1882,1930,1556,1323,959,641,509,355
"Smart phone only","Primary","Urban","Ashanti","Male",2781,3554,3171,3063,2960,2296,1797,1200,730,517,301
"Smart phone only","Primary","Urban","Ashanti","Female",2728,3877,4566,5038,5428,4294,3597,2446,1600,1142,603
"Smart phone only","Primary","Urban","Western North","Male",291,302,263,241,235,169,120,58,43,30,30
"Smart phone only","Primary","Urban","Western North","Female",314,377,414,398,290,199,142,96,57,43,23
"Smart phone only","Primary","Urban","Ahafo","Male",271,342,269,258,216,154,92,64,50,36,13
"Smart phone only","Primary","Urban","Ahafo","Female",249,363,349,351,324,197,176,129,96,88,42
"Smart phone only","Primary","Urban","Bono","Male",741,831,643,568,546,398,308,164,96,91,59
"Smart phone only","Primary","Urban","Bono","Female",662,954,959,1031,951,619,503,356,254,179,130
"Smart phone only","Primary","Urban","Bono East","Male",1149,1144,848,667,593,380,267,165,97,67,35
"Smart phone only","Primary","Urban","Bono East","Female",1141,1408,1190,1021,753,492,366,179,143,102,57
"Smart phone only","Primary","Urban","Oti","Male",308,340,238,207,159,99,86,59,36,34,20
"Smart phone only","Primary","Urban","Oti","Female",420,348,292,266,210,120,80,47,43,35,22
"Smart phone only","Primary","Urban","Northern","Male",1201,1297,885,766,546,380,241,159,92,70,40
"Smart phone only","Primary","Urban","Northern","Female",930,1026,918,701,459,266,193,91,40,21,14
"Smart phone only","Primary","Urban","Savannah","Male",201,199,148,124,69,68,33,26,9,4,5
"Smart phone only","Primary","Urban","Savannah","Female",180,248,191,130,77,45,33,13,7,5,4
"Smart phone only","Primary","Urban","North East","Male",207,176,115,91,71,35,33,11,5,7,7
"Smart phone only","Primary","Urban","North East","Female",209,180,163,95,57,19,17,7,5,0,2
"Smart phone only","Primary","Urban","Upper East","Male",371,445,445,389,368,271,190,124,61,42,17
"Smart phone only","Primary","Urban","Upper East","Female",329,393,453,433,371,224,165,90,32,35,11
"Smart phone only","Primary","Urban","Upper West","Male",201,247,235,179,196,126,78,46,38,19,11
"Smart phone only","Primary","Urban","Upper West","Female",229,287,249,256,193,106,67,44,25,17,7
"Smart phone only","Secondary","Rural","Ghana","Male",1520,2529,1625,1708,1554,3196,5508,3698,2800,2148,2312
"Smart phone only","Secondary","Rural","Ghana","Female",1556,1799,1162,949,815,1877,3274,1316,1095,869,1273
"Smart phone only","Secondary","Rural","Western","Male",138,251,183,222,191,357,596,321,279,200,194
"Smart phone only","Secondary","Rural","Western","Female",138,162,151,121,89,156,299,94,99,58,86
"Smart phone only","Secondary","Rural","Central","Male",132,173,103,123,93,280,535,341,296,215,262
"Smart phone only","Secondary","Rural","Central","Female",119,116,70,62,52,173,328,142,87,89,136
"Smart phone only","Secondary","Rural","Greater Accra","Male",61,145,104,218,215,340,386,388,251,163,128
"Smart phone only","Secondary","Rural","Greater Accra","Female",54,116,93,153,152,197,253,199,132,100,87
"Smart phone only","Secondary","Rural","Volta","Male",105,131,110,87,117,221,376,304,228,172,232
"Smart phone only","Secondary","Rural","Volta","Female",97,99,77,66,69,144,267,131,111,89,120
"Smart phone only","Secondary","Rural","Eastern","Male",106,146,110,132,123,387,794,443,356,334,372
"Smart phone only","Secondary","Rural","Eastern","Female",85,101,86,74,68,268,568,183,160,153,228
"Smart phone only","Secondary","Rural","Ashanti","Male",273,381,269,303,304,799,1471,859,626,484,496
"Smart phone only","Secondary","Rural","Ashanti","Female",271,302,196,202,184,542,947,331,297,214,348
"Smart phone only","Secondary","Rural","Western North","Male",107,231,144,140,115,189,353,211,143,128,99
"Smart phone only","Secondary","Rural","Western North","Female",88,158,111,63,36,84,143,41,33,28,51
"Smart phone only","Secondary","Rural","Ahafo","Male",27,73,45,40,42,69,167,85,96,55,64
"Smart phone only","Secondary","Rural","Ahafo","Female",25,37,25,14,16,35,77,27,30,17,32
"Smart phone only","Secondary","Rural","Bono","Male",50,99,65,72,63,174,295,212,176,114,103
"Smart phone only","Secondary","Rural","Bono","Female",46,57,40,45,43,110,179,68,52,37,57
"Smart phone only","Secondary","Rural","Bono East","Male",52,97,63,56,39,93,147,125,65,53,71
"Smart phone only","Secondary","Rural","Bono East","Female",33,64,44,18,15,43,68,21,18,17,30
"Smart phone only","Secondary","Rural","Oti","Male",69,97,42,44,46,76,177,117,97,78,84
"Smart phone only","Secondary","Rural","Oti","Female",52,51,28,18,14,43,84,17,24,17,36
"Smart phone only","Secondary","Rural","Northern","Male",169,265,123,81,66,59,58,71,28,31,39
"Smart phone only","Secondary","Rural","Northern","Female",129,147,67,34,26,22,19,12,8,7,10
"Smart phone only","Secondary","Rural","Savannah","Male",56,112,54,33,27,31,37,39,31,22,22
"Smart phone only","Secondary","Rural","Savannah","Female",36,74,20,5,8,11,7,9,8,5,7
"Smart phone only","Secondary","Rural","North East","Male",39,62,35,26,18,14,16,35,16,13,14
"Smart phone only","Secondary","Rural","North East","Female",49,54,19,13,3,5,1,5,3,8,3
"Smart phone only","Secondary","Rural","Upper East","Male",85,151,92,81,58,68,56,92,63,49,64
"Smart phone only","Secondary","Rural","Upper East","Female",283,164,91,40,18,25,21,23,20,19,18
"Smart phone only","Secondary","Rural","Upper West","Male",51,115,83,50,37,39,44,55,49,37,68
"Smart phone only","Secondary","Rural","Upper West","Female",51,97,44,21,22,19,13,13,13,11,24
"Smart phone only","Secondary","Urban","Ghana","Male",4604,5645,5055,6826,7344,13497,20495,18377,14209,10213,7581
"Smart phone only","Secondary","Urban","Ghana","Female",5942,5067,4625,5809,5613,10434,16940,12296,10139,7524,6245
"Smart phone only","Secondary","Urban","Western","Male",362,425,373,480,476,878,1378,1056,831,531,399
"Smart phone only","Secondary","Urban","Western","Female",419,410,362,435,381,657,1085,733,570,346,328
"Smart phone only","Secondary","Urban","Central","Male",281,417,350,408,440,925,1470,1239,950,714,550
"Smart phone only","Secondary","Urban","Central","Female",696,338,285,385,347,725,1227,795,657,456,399
"Smart phone only","Secondary","Urban","Greater Accra","Male",1443,2081,2287,3358,3798,6368,9131,8646,6888,4796,3410
"Smart phone only","Secondary","Urban","Greater Accra","Female",1601,1841,2034,2959,2959,5104,7708,6695,5524,4187,3292
"Smart phone only","Secondary","Urban","Volta","Male",198,172,134,158,166,309,425,387,311,264,218
"Smart phone only","Secondary","Urban","Volta","Female",285,165,127,125,119,196,342,244,233,180,140
"Smart phone only","Secondary","Urban","Eastern","Male",475,412,277,402,392,864,1413,1073,908,764,609
"Smart phone only","Secondary","Urban","Eastern","Female",612,354,267,303,294,726,1208,743,639,550,425
"Smart phone only","Secondary","Urban","Ashanti","Male",657,819,749,1033,1206,2763,4659,3829,2869,2135,1569
"Smart phone only","Secondary","Urban","Ashanti","Female",1011,839,743,868,946,2180,4007,2189,1830,1326,1222
"Smart phone only","Secondary","Urban","Western North","Male",234,147,61,86,88,143,218,167,138,69,52
"Smart phone only","Secondary","Urban","Western North","Female",208,122,62,66,47,81,123,51,56,34,22
"Smart phone only","Secondary","Urban","Ahafo","Male",41,61,47,69,72,152,249,198,142,97,81
"Smart phone only","Secondary","Urban","Ahafo","Female",123,66,47,68,46,94,184,94,67,42,60
"Smart phone only","Secondary","Urban","Bono","Male",136,224,157,204,201,377,664,578,365,290,254
"Smart phone only","Secondary","Urban","Bono","Female",129,210,170,203,179,306,535,358,253,191,177
"Smart phone only","Secondary","Urban","Bono East","Male",119,176,116,119,100,193,309,289,199,129,138
"Smart phone only","Secondary","Urban","Bono East","Female",112,133,98,80,57,117,223,106,91,59,53
"Smart phone only","Secondary","Urban","Oti","Male",32,58,43,47,28,58,82,93,72,36,32
"Smart phone only","Secondary","Urban","Oti","Female",45,54,30,20,22,28,54,30,28,7,16
"Smart phone only","Secondary","Urban","Northern","Male",218,297,232,251,210,224,231,424,270,222,132
"Smart phone only","Secondary","Urban","Northern","Female",153,215,191,149,108,97,109,128,95,87,54
"Smart phone only","Secondary","Urban","Savannah","Male",27,74,84,58,40,44,39,74,47,24,26
"Smart phone only","Secondary","Urban","Savannah","Female",21,56,72,35,12,20,12,18,10,11,7
"Smart phone only","Secondary","Urban","North East","Male",29,50,32,35,25,28,34,50,31,18,22
"Smart phone only","Secondary","Urban","North East","Female",39,42,25,11,15,12,8,11,6,4,5
"Smart phone only","Secondary","Urban","Upper East","Male",168,89,71,71,70,100,101,145,110,76,52
"Smart phone only","Secondary","Urban","Upper East","Female",131,95,73,67,41,51,72,53,50,22,28
"Smart phone only","Secondary","Urban","Upper West","Male",184,143,42,47,32,71,92,129,78,48,37
"Smart phone only","Secondary","Urban","Upper West","Female",357,127,39,35,40,40,43,48,30,22,17
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Ghana","Male",11339,15109,17180,18057,13467,7591,4548,2641,1911,1660,995
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Ghana","Female",8007,9448,10267,10407,6600,2825,1271,701,638,642,288
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Western","Male",894,1118,1412,1369,894,538,353,196,147,116,45
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Western","Female",734,657,802,690,362,136,56,42,33,22,7
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Central","Male",1331,1364,1630,1843,1502,778,548,303,207,183,115
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Central","Female",975,885,1032,1178,780,298,150,80,63,59,22
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Greater Accra","Male",718,1840,1572,1548,1327,797,529,342,196,155,122
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Greater Accra","Female",649,1671,1340,1347,974,524,248,117,110,126,48
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Volta","Male",846,878,1031,1236,1091,733,491,310,215,198,131
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Volta","Female",589,592,624,785,531,237,132,62,76,92,49
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Eastern","Male",1150,1268,1537,1827,1385,876,548,318,306,256,138
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Eastern","Female",788,839,1116,1197,859,382,187,109,107,102,43
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Ashanti","Male",2267,3311,3985,4155,2961,1585,912,551,378,349,223
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Ashanti","Female",1313,2217,2613,2681,1727,703,302,190,132,142,66
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Western North","Male",698,854,987,1014,645,356,182,99,77,54,34
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Western North","Female",523,407,454,313,164,51,23,14,17,9,2
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Ahafo","Male",364,275,339,369,259,114,72,43,41,30,16
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Ahafo","Female",208,105,163,172,80,34,14,9,8,5,2
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Bono","Male",590,997,1008,941,657,359,198,123,102,81,44
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Bono","Female",488,586,608,570,289,113,49,14,14,14,16
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Bono East","Male",380,348,491,556,414,184,111,59,54,45,16
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Bono East","Female",193,157,234,260,128,46,14,10,9,8,4
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Oti","Male",362,303,365,395,336,194,114,62,60,55,28
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Oti","Female",161,142,155,157,81,42,12,12,15,10,6
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Northern","Male",415,589,648,661,425,253,121,69,32,32,11
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Northern","Female",254,420,243,248,159,79,30,17,13,16,5
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Savannah","Male",264,195,249,218,137,68,32,20,8,7,6
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Savannah","Female",48,77,104,63,26,7,6,1,2,1,2
"Smart phone only","Tertiary - Bachelor's Degree","Rural","North East","Male",110,181,207,172,119,67,18,4,9,8,4
"Smart phone only","Tertiary - Bachelor's Degree","Rural","North East","Female",50,48,63,41,14,5,4,1,1,3,0
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Upper East","Male",535,1066,1033,1112,836,453,198,94,55,60,36
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Upper East","Female",633,465,471,483,276,104,31,16,25,23,10
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Upper West","Male",415,522,686,641,479,236,121,48,24,31,26
"Smart phone only","Tertiary - Bachelor's Degree","Rural","Upper West","Female",401,180,245,222,150,64,13,7,13,10,6
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Ghana","Male",33296,114083,104840,93502,67602,40396,25086,15231,10605,9319,6037
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Ghana","Female",32606,97468,80737,70940,46071,21963,10832,6607,5276,4577,2529
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Western","Male",1550,4916,5361,4909,3692,2082,1445,957,657,458,305
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Western","Female",1527,3856,3960,3676,2420,1097,610,366,298,236,103
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Central","Male",2832,12309,10379,7874,4993,2972,1922,1149,804,720,432
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Central","Female",2619,10556,7093,5342,3295,1651,822,428,418,304,180
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Greater Accra","Male",11848,41044,41587,36041,26186,16785,10559,6557,4535,4112,2751
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Greater Accra","Female",12841,39275,36473,31694,20928,10682,5455,3469,2559,2261,1340
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Volta","Male",815,2471,2197,2212,2020,1303,964,527,414,353,231
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Volta","Female",993,2823,1792,1902,1410,744,359,201,193,177,84
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Eastern","Male",1634,4715,5525,5703,4682,2846,1856,1104,843,777,500
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Eastern","Female",1578,4392,4540,4615,3235,1531,783,463,410,332,169
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Ashanti","Male",10103,31038,22156,18235,12220,6677,3850,2398,1742,1560,1044
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Ashanti","Female",9203,22980,15453,13388,8322,3605,1581,943,742,676,382
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Western North","Male",353,1197,1395,1373,899,472,237,139,97,70,42
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Western North","Female",297,871,772,563,273,87,35,34,25,32,9
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Ahafo","Male",368,1000,1138,1211,871,458,277,184,122,91,52
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Ahafo","Female",221,809,730,655,411,133,65,45,40,21,11
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Bono","Male",1171,5569,4292,3983,2704,1427,778,516,347,298,203
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Bono","Female",1123,4166,3115,2612,1553,603,274,148,157,134,54
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Bono East","Male",585,1539,2033,2414,1728,904,534,328,205,199,117
"Smart phone only","Tertiary - Bachelor's Degree","Urban","Bono East","Female",433,1131,1252,1309,741,299,109,58,66,69,27
